Wavelength (nm)	B02 abs e
385.25	59.917
385.50	74.362
385.75	60.830
386.00	22.596
386.25	20.374
386.50	115.77
386.75	105.81
387.00	29.778
387.25	77.259
387.50	110.75
387.75	44.243
388.00	37.259
388.25	67.774
388.50	64.659
388.75	106.19
389.00	39.977
389.25	51.445
389.50	102.79
389.75	-2.7018
390.00	1.9213
390.25	49.997
390.50	4.6196
390.75	90.195
391.00	-1.9081
391.25	74.739
391.50	88.588
391.75	39.044
392.00	51.405
392.25	79.838
392.50	130.59
392.75	61.108
393.00	24.957
393.25	25.711
393.50	-28.595
393.75	59.064
394.00	68.449
394.25	-1.3329
394.50	47.635
394.75	12.377
395.00	42.893
395.25	101.98
395.50	35.175
395.75	12.119
396.00	-21.948
396.25	57.377
396.50	38.191
396.75	29.123
397.00	34.639
397.25	-14.012
397.50	59.064
397.75	-4.4680
398.00	167.71
398.25	67.278
398.50	117.14
398.75	84.857
399.00	22.814
399.25	-18.099
399.50	57.953
399.75	42.635
400.00	26.425
