Wavelength (nm)	N13 abs N
353.75	0.073227
354.00	0.070018
354.25	0.067101
354.50	0.065500
354.75	0.066002
355.00	0.064143
355.25	0.061456
355.50	0.060330
355.75	0.055642
356.00	0.056965
356.25	0.059408
356.50	0.054984
356.75	0.053336
357.00	0.050819
357.25	0.052875
357.50	0.051063
357.75	0.048580
358.00	0.044863
358.25	0.043614
358.50	0.043689
358.75	0.044347
359.00	0.041070
359.25	0.041613
359.50	0.038445
359.75	0.038872
360.00	0.038866
360.25	0.040182
360.50	0.038764
360.75	0.035799
361.00	0.034198
361.25	0.032339
361.50	0.033513
361.75	0.034293
362.00	0.033730
362.25	0.027007
362.50	0.031349
362.75	0.031797
363.00	0.030718
363.25	0.031593
363.50	0.031959
363.75	0.027007
364.00	0.028622
364.25	0.024897
364.50	0.026770
364.75	0.025779
365.00	0.024314
365.25	0.026030
365.50	0.026756
365.75	0.027509
366.00	0.023961
366.25	0.021811
366.50	0.021919
366.75	0.021668
367.00	0.022882
367.25	0.018812
367.50	0.022489
367.75	0.021186
368.00	0.023045
368.25	0.019267
368.50	0.019504
368.75	0.020366
369.00	0.019952
369.25	0.020169
369.50	0.022543
369.75	0.020386
370.00	0.019117
370.25	0.020128
370.50	0.019117
370.75	0.016784
371.00	0.018181
371.25	0.017828
371.50	0.018765
371.75	0.018439
372.00	0.016899
372.25	0.016702
372.50	0.014986
372.75	0.018914
373.00	0.017157
373.25	0.019640
373.50	0.016363
373.75	0.017896
374.00	0.018391
374.25	0.016417
374.50	0.015888
374.75	0.016126
375.00	0.015983
375.25	0.015040
375.50	0.017021
375.75	0.016974
376.00	0.017272
376.25	0.017313
376.50	0.017211
376.75	0.018005
377.00	0.017828
377.25	0.016051
377.50	0.017184
377.75	0.017231
378.00	0.017055
378.25	0.014932
378.50	0.018676
378.75	0.017469
379.00	0.017136
379.25	0.017197
379.50	0.015698
379.75	0.018351
380.00	0.017503
380.25	0.017238
380.50	0.018073
380.75	0.016933
381.00	0.017245
381.25	0.016784
381.50	0.018473
381.75	0.016153
382.00	0.017917
382.25	0.017170
382.50	0.016417
382.75	0.016682
383.00	0.015875
383.25	0.018873
383.50	0.019979
383.75	0.014966
384.00	0.019368
384.25	0.019395
384.50	0.015590
384.75	0.018792
385.00	0.016187
385.25	0.017116
385.50	0.017625
385.75	0.017564
386.00	0.018473
386.25	0.017530
386.50	0.017435
386.75	0.017333
387.00	0.017754
387.25	0.018473
387.50	0.018303
387.75	0.017937
388.00	0.019165
388.25	0.018073
388.50	0.017157
388.75	0.018086
389.00	0.017903
389.25	0.018093
389.50	0.020054
389.75	0.016729
390.00	0.019056
390.25	0.016058
390.50	0.014877
390.75	0.015217
391.00	0.016363
391.25	0.017455
391.50	0.016200
391.75	0.016302
392.00	0.016505
392.25	0.019762
392.50	0.015345
392.75	0.017618
393.00	0.014959
393.25	0.019009
393.50	0.015834
393.75	0.017279
394.00	0.016600
394.25	0.017028
394.50	0.018127
394.75	0.016892
395.00	0.015447
395.25	0.015420
395.50	0.016037
395.75	0.018012
396.00	0.016702
396.25	0.016119
396.50	0.015413
396.75	0.015725
397.00	0.015393
397.25	0.016790
397.50	0.014402
397.75	0.014518
398.00	0.014735
398.25	0.014653
398.50	0.014199
398.75	0.014708
399.00	0.016492
399.25	0.013290
399.50	0.014966
399.75	0.015698
400.00	0.015610
400.25	0.013378
400.50	0.014158
400.75	0.016051
401.00	0.013229
401.25	0.014369
401.50	0.012354
401.75	0.013005
402.00	0.013595
402.25	0.013636
402.50	0.013554
402.75	0.014111
403.00	0.014809
403.25	0.014124
403.50	0.014029
403.75	0.011716
