Wavelength (nm)	N01 abs e
451.75	11948
452.00	12279
452.25	12448
452.50	12495
452.75	12857
453.00	13010
453.25	13268
453.50	13523
453.75	13735
454.00	14063
454.25	14203
454.50	14362
454.75	14749
455.00	14763
455.25	14832
455.50	15209
455.75	15467
456.00	15805
456.25	15968
456.50	16270
456.75	16651
457.00	16745
457.25	17109
457.50	17451
457.75	17820
458.00	18002
458.25	18416
458.50	18690
458.75	19046
459.00	19290
459.25	19510
459.50	19845
459.75	20162
460.00	20620
460.25	20780
460.50	21080
460.75	21359
461.00	21797
461.25	22038
461.50	22299
461.75	22767
462.00	23058
462.25	23285
462.50	23643
462.75	23996
463.00	24255
463.25	24522
463.50	24752
463.75	25145
464.00	25315
464.25	25522
464.50	25780
464.75	26084
465.00	26383
465.25	26631
465.50	26850
465.75	26955
466.00	27384
466.25	27461
466.50	27795
466.75	27865
467.00	28212
467.25	28301
467.50	28571
467.75	28833
468.00	28957
468.25	29253
468.50	29407
468.75	29623
469.00	29758
469.25	29729
469.50	30146
469.75	30448
470.00	30507
470.25	30472
470.50	30760
470.75	30836
471.00	30982
471.25	31063
471.50	31286
471.75	31280
472.00	31632
472.25	31754
472.50	31997
472.75	32053
473.00	32304
473.25	32243
473.50	32502
473.75	32599
474.00	32887
474.25	32928
474.50	33089
474.75	33374
475.00	33475
475.25	33716
475.50	33847
475.75	34196
476.00	34343
476.25	34705
476.50	34867
476.75	35257
477.00	35515
477.25	35661
477.50	36021
477.75	36124
478.00	36580
478.25	36953
478.50	37264
478.75	37677
479.00	37984
479.25	38262
479.50	38452
479.75	38887
480.00	39483
480.25	39799
480.50	40077
480.75	40582
481.00	41152
481.25	41600
481.50	41920
481.75	42444
482.00	43171
482.25	43657
482.50	44128
482.75	44490
483.00	45156
483.25	45731
483.50	46293
483.75	46912
484.00	47562
484.25	48349
484.50	48930
484.75	49512
485.00	50359
485.25	51011
485.50	51819
485.75	52673
486.00	53118
486.25	53931
486.50	54685
486.75	55426
487.00	56284
487.25	57147
487.50	57950
487.75	58659
488.00	59669
488.25	60461
488.50	61395
488.75	62396
489.00	63132
489.25	63976
489.50	64808
489.75	65769
490.00	66467
490.25	67493
490.50	68648
490.75	69561
491.00	70281
491.25	71132
491.50	72132
491.75	72956
492.00	73904
492.25	74782
492.50	75552
492.75	76594
493.00	77472
493.25	78381
493.50	79017
493.75	79853
494.00	80788
494.25	81461
494.50	82265
494.75	83073
495.00	83398
495.25	83687
495.50	84642
495.75	85268
496.00	85813
496.25	86589
496.50	87062
496.75	87816
497.00	88497
497.25	88995
497.50	89468
497.75	89626
498.00	90066
498.25	90695
498.50	91110
498.75	91208
499.00	91831
499.25	91361
499.50	91706
499.75	91998
500.00	91990
500.25	92302
500.50	92045
500.75	92232
501.00	91924
501.25	91672
501.50	91023
501.75	90954
502.00	90506
502.25	90494
502.50	89927
502.75	89025
503.00	88542
503.25	88073
503.50	87260
503.75	86624
504.00	85638
504.25	84870
504.50	84057
504.75	83254
505.00	82537
505.25	81313
505.50	80293
505.75	79217
506.00	78289
506.25	76943
506.50	75919
506.75	74547
507.00	73631
507.25	72370
507.50	71199
507.75	69667
508.00	68531
508.25	66964
508.50	65794
508.75	64332
509.00	63047
509.25	61569
509.50	60226
509.75	58876
510.00	57474
510.25	56332
510.50	55056
510.75	53353
511.00	51995
511.25	50693
511.50	49394
511.75	47853
512.00	46459
512.25	45294
512.50	43908
512.75	42624
513.00	41435
513.25	40248
513.50	39091
513.75	37890
514.00	36698
514.25	35522
514.50	34328
514.75	33305
515.00	32301
515.25	31153
515.50	29769
515.75	28560
516.00	27297
516.25	26180
516.50	25227
516.75	24144
517.00	23429
517.25	22437
517.50	21709
517.75	20872
518.00	20131
518.25	19186
518.50	18652
518.75	18051
519.00	17258
519.25	16755
519.50	16071
519.75	15397
520.00	14820
520.25	14258
520.50	13636
520.75	13149
521.00	12649
521.25	12100
521.50	11742
521.75	11158
522.00	10728
522.25	10426
522.50	9904.8
522.75	9684.6
523.00	9081.3
523.25	8901.9
