Wavelength (nm)	N11 abs e
428.00	1796.5
428.25	1713.3
428.50	1598.9
428.75	1661.5
429.00	1601.6
429.25	1566.8
429.50	1454.1
429.75	1656.1
430.00	1512.2
430.25	1676.7
430.50	1425.5
430.75	1411.2
431.00	1522.1
431.25	1437.2
431.50	1291.5
431.75	1448.8
432.00	1356.7
432.25	1264.7
432.50	1413.9
432.75	1375.5
433.00	1177.1
433.25	1439.8
433.50	963.47
433.75	1119.9
434.00	1378.2
434.25	1194.1
434.50	1394.3
434.75	1290.6
435.00	1097.5
435.25	1339.7
435.50	1203.9
435.75	1149.4
436.00	1103.8
436.25	1055.5
436.50	1184.2
436.75	1122.6
437.00	1045.7
437.25	1190.5
437.50	1195.0
437.75	1089.5
438.00	1116.3
438.25	1003.7
438.50	1096.6
438.75	939.34
439.00	1052.0
439.25	988.50
439.50	1178.0
439.75	1127.9
440.00	1127.0
440.25	973.31
440.50	1084.1
440.75	1271.8
441.00	1044.8
441.25	956.32
441.50	1053.7
441.75	1110.9
442.00	1256.6
442.25	1026.9
442.50	1174.4
442.75	1026.9
443.00	1096.6
443.25	941.13
443.50	1203.9
443.75	1067.2
444.00	1385.3
444.25	1182.4
444.50	1098.4
444.75	1193.2
445.00	1033.2
445.25	1333.5
445.50	1170.8
445.75	1105.6
446.00	1132.4
446.25	1481.9
446.50	1582.0
446.75	1437.2
447.00	1298.6
447.25	1249.5
447.50	1245.0
447.75	1496.2
448.00	1295.1
448.25	1175.3
448.50	1445.2
448.75	1523.0
449.00	1280.8
449.25	1455.0
449.50	1408.6
449.75	1338.9
450.00	1451.5
450.25	1605.2
450.50	1516.7
450.75	1661.5
451.00	1581.1
451.25	1563.2
451.50	1707.1
451.75	1543.5
452.00	1732.1
452.25	1874.2
452.50	1659.7
452.75	1756.2
453.00	1837.6
453.25	1717.8
453.50	1822.4
453.75	1816.1
454.00	1921.6
454.25	2053.9
454.50	2053.9
454.75	1809.0
455.00	1903.7
455.25	2044.9
455.50	2066.4
455.75	2090.5
456.00	2096.8
456.25	2112.0
456.50	2145.9
456.75	2219.2
457.00	2282.7
457.25	2397.1
457.50	2574.0
457.75	2235.3
458.00	2578.5
458.25	2262.1
458.50	2572.2
458.75	2627.7
459.00	2623.2
459.25	2695.6
459.50	2685.8
459.75	2907.4
460.00	2815.3
460.25	2889.5
460.50	3033.4
460.75	3069.2
461.00	3035.2
461.25	3089.7
461.50	3210.4
461.75	3281.0
462.00	3298.9
462.25	3267.6
462.50	3571.5
462.75	3445.4
463.00	3458.0
463.25	3682.3
463.50	3567.9
463.75	3651.9
464.00	3873.6
464.25	3775.2
464.50	3832.4
464.75	3798.5
465.00	4045.2
465.25	4063.0
465.50	4079.1
465.75	4122.0
466.00	4193.5
466.25	4420.5
466.50	4381.2
466.75	4442.9
467.00	4568.9
467.25	4635.9
467.50	4619.0
467.75	4673.5
468.00	4726.2
468.25	4930.0
468.50	4866.5
468.75	4783.4
469.00	4837.9
469.25	5048.0
469.50	5159.7
469.75	5293.7
470.00	5214.2
470.25	5262.5
470.50	5282.1
470.75	5370.6
471.00	5376.9
471.25	5730.8
471.50	5751.3
471.75	5782.6
472.00	5731.7
