Wavelength (nm)	abs
814	0.014832095
815	0.014892492
816	0.014952889
817	0.015013286
818	0.015073683
819	0.01513408
820	0.015194476
821	0.015254873
822	0.01531527
823	0.015375667
824	0.015436064
825	0.015496461
826	0.015556858
827	0.015617255
828	0.015677651
829	0.015738048
830	0.015798445
831	0.015858842
832	0.015919239
833	0.015979636
834	0.016040033
835	0.016100429
836	0.016160826
837	0.016221223
838	0.01628162
839	0.016342017
840	0.016402414
841	0.016462811
842	0.016523208
843	0.016583604
844	0.016644001
845	0.016704398
846	0.016742554
